List,Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
1,AAPL,Apple Inc.,175,8.90E+11,n/a,1980,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/aapl
2,GOOGL,Alphabet Inc.,1110.29,7.71E+11,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/googl
3,GOOG,Alphabet Inc.,1102.23,7.66E+11,n/a,2004,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/goog
4,MSFT,Microsoft Corporation,88.19,6.80E+11,n/a,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/msft
5,AMZN,"Amazon.com, Inc.",1229.14,5.92E+11,n/a,1997,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/amzn
6,FB,"Facebook, Inc.",186.85,5.43E+11,n/a,2012,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/fb
7,INTC,Intel Corporation,44.74,2.09E+11,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/intc
8,CSCO,"Cisco Systems, Inc.",39.53,1.95E+11,n/a,1990,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/csco
9,CMCSA,Comcast Corporation,41.04,1.92E+11,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/cmcsa
10,PEP,"Pepsico, Inc.",118.67,1.69E+11,n/a,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/pep
11,AMGN,Amgen Inc.,180.65,1.31E+11,n/a,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/amgn
12,NVDA,NVIDIA Corporation,215.4,1.31E+11,n/a,1999,Technology,Semiconductors,http://www.nasdaq.com/symbol/nvda
13,TXN,Texas Instruments Incorporated,109.12,1.08E+11,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/txn
14,AVGO,Broadcom Limited,271.62,1.06E+11,n/a,2009,Technology,Semiconductors,http://www.nasdaq.com/symbol/avgo
15,QCOM,QUALCOMM Incorporated,66.47,97987723554,n/a,1991,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/qcom
16,GILD,"Gilead Sciences, Inc.",74.52,97343165582,n/a,1992,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/gild
17,KHC,The Kraft Heinz Company,77.84,94845536354,n/a,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/khc
18,PYPL,"PayPal Holdings, Inc.",78.7,94590341712,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/pypl
19,ADBE,Adobe Systems Incorporated,185.34,91050499080,n/a,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe
20,NFLX,"Netflix, Inc.",209.99,90869209989,n/a,2002,Consumer Services,Consumer Electronics/Video Chains,http://www.nasdaq.com/symbol/nflx
21,PCLN,The Priceline Group Inc. ,1823.54,88933217913,n/a,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/pcln
22,CHTR,"Charter Communications, Inc.",350.88,87675765260,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/chtr
23,SBUX,Starbucks Corporation,59.61,84813108000,n/a,1992,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/sbux
24,CELG,Celgene Corporation,104.99,82660404586,n/a,1987,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/celg
25,COST,Costco Wholesale Corporation,187.75,82442127280,n/a,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/cost
26,BIIB,Biogen Inc.,342.49,72428735811,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/biib
27,WBA,"Walgreens Boots Alliance, Inc.",72.92,72216739905,n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/wba
28,BIDU,"Baidu, Inc.",245.14,68819725999,280736420,2005,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/bidu
29,FOX,"Twenty-First Century Fox, Inc.",36.35,67339457867,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/fox
30,AABA,Altaba Inc.,76.49,66804688421,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/aaba
31,MDLZ,"Mondelez International, Inc.",43.23,64602419092,n/a,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/mdlz
32,QQQ,"PowerShares QQQ Trust, Series 1",161.92,58420736000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/qqq
33,AMAT,"Applied Materials, Inc.",54.6,57676202984,n/a,1972,Technology,Semiconductors,http://www.nasdaq.com/symbol/amat
34,AMOV,"America Movil, S.A.B. de C.V.",17.1914,56780624791,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amov
35,TMUS,"T-Mobile US, Inc.",64.6,53744880731,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/tmus
36,TSLA,"Tesla, Inc. ",316.58,53206775909,n/a,2010,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/tsla
37,MU,"Micron Technology, Inc.",45.8,52959225718,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/mu
38,ADP,"Automatic Data Processing, Inc.",118.3,52464835059,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/adp
39,CSX,CSX Corporation,57.72,51585696351,n/a,n/a,Transportation,Railroads,http://www.nasdaq.com/symbol/csx
40,CME,CME Group Inc.,149.65,50925071326,n/a,2002,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cme
41,ATVI,"Activision Blizzard, Inc",66.37,50182320828,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi
42,MAR,Marriott International,134.4,48999724435,n/a,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/mar
43,FOXA,"Twenty-First Century Fox, Inc.",36.75,44869543493,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/foxa
44,CTSH,Cognizant Technology Solutions Corporation,73.3,43221025119,n/a,1998,Technology,EDP Services,http://www.nasdaq.com/symbol/ctsh
45,ESRX,Express Scripts Holding Company,76.01,43050011730,n/a,1992,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/esrx
46,ISRG,"Intuitive Surgical, Inc.",379.01,42467250322,n/a,2000,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/isrg
47,JD,"JD.com, Inc.",45.64,42078684922,921969433,2014,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/jd
48,INTU,Intuit Inc.,164.11,41954704268,n/a,1993,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/intu
49,EBAY,eBay Inc.,39.69,41459028586,n/a,1998,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ebay
50,REGN,"Regeneron Pharmaceuticals, Inc.",385.1,41374995351,n/a,1991,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/regn
51,NXPI,NXP Semiconductors N.V.,118.05,40022471077,n/a,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/nxpi
52,VRTX,Vertex Pharmaceuticals Incorporated,155.69,39374444405,n/a,1991,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/vrtx
53,MNST,Monster Beverage Corporation,63.49,35806029917,n/a,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/mnst
54,EQIX,"Equinix, Inc.",449.49,35165264465,n/a,2000,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/eqix
55,EA,Electronic Arts Inc.,112.39,34607741663,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ea
56,ADI,"Analog Devices, Inc.",91.67,33792842686,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/adi
57,ILMN,"Illumina, Inc.",228.17,33312820000,n/a,2000,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/ilmn
58,LRCX,Lam Research Corporation,196.4,31806243107,n/a,1984,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/lrcx
59,ROST,"Ross Stores, Inc.",81.97,31324507374,n/a,1985,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/rost
60,LBTYA,Liberty Global plc,36.19,29694140332,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/lbtya
61,LBTYB,Liberty Global plc,36.15,29661320061,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/lbtyb
62,AMTD,TD Ameritrade Holding Corporation,51.83,29384462727,n/a,1997,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/amtd
63,LBTYK,Liberty Global plc,34.38,28209023062,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/lbtyk
64,FISV,"Fiserv, Inc.",134.58,28046390445,n/a,1986,Technology,EDP Services,http://www.nasdaq.com/symbol/fisv
65,ALXN,"Alexion Pharmaceuticals, Inc.",122.8,27434704283,n/a,1996,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxn
66,PCAR,PACCAR Inc.,75.1,26405924143,n/a,n/a,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/pcar
67,DLTR,"Dollar Tree, Inc.",111.14,26350906788,n/a,1995,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/dltr
68,NTES,"NetEase, Inc.",344.27,26116696766,75861088,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ntes
69,TROW,"T. Rowe Price Group, Inc.",107.23,25982905160,n/a,1986,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/trow
70,AAL,"American Airlines Group, Inc.",52.65,25192976193,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/aal
71,IBKR,"Interactive Brokers Group, Inc.",60.34,24842176217,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/ibkr
72,PAYX,"Paychex, Inc.",68.71,24679633094,n/a,1983,Consumer Services,Diversified Commercial Services,http://www.nasdaq.com/symbol/payx
73,SIRI,Sirius XM Holdings Inc.,5.33,24495720611,n/a,n/a,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/siri
74,WDC,Western Digital Corporation,82.69,24458595442,n/a,n/a,Technology,Electronic Components,http://www.nasdaq.com/symbol/wdc
75,ADSK,"Autodesk, Inc.",110.84,24414374550,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adsk
76,MYL,Mylan N.V.,44.54,23892873826,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/myl
77,XEL,Xcel Energy Inc.,46.79,23758225202,n/a,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/xel
78,CERN,Cerner Corporation,70.53,23445222615,n/a,1986,Technology,EDP Services,http://www.nasdaq.com/symbol/cern
79,NTRS,Northern Trust Corporation,102,23196955056,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ntrs
80,WDAY,"Workday, Inc.",109.32,22957200000,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/wday
81,DISH,DISH Network Corporation,49.22,22954111573,n/a,1995,Consumer Services,Television Services,http://www.nasdaq.com/symbol/dish
82,ORLY,"O&#39;Reilly Automotive, Inc.",260.28,22131008975,n/a,1993,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/orly
83,HBANO,Huntington Bancshares Incorporated,27.28,21733678021,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/hbano
84,CTRP,"Ctrip.com International, Ltd.",47.37,21699232547,458079640,2003,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ctrp
85,VCSH,Vanguard Short-Term Corporate Bond ETF,79.26,21672538549,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vcsh
86,FITB,Fifth Third Bancorp,30.71,21668400740,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fitb
87,MCHP,Microchip Technology Incorporated,92.26,21580111005,n/a,1993,Technology,Semiconductors,http://www.nasdaq.com/symbol/mchp
